# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1646', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00640937600146}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,176,200.9266159534,tap,l
juan-carlos,True,177,201.0626769066,stimulus,
juan-carlos,True,177,201.6285719872,tap,s
juan-carlos,True,178,201.8127028942,stimulus,
juan-carlos,True,178,202.4116289616,tap,s
juan-carlos,True,179,202.5627219677,stimulus,
juan-carlos,True,179,203.1095340252,tap,l
juan-carlos,True,180,203.3127450943,stimulus,
juan-carlos,True,180,203.8520729542,tap,s
juan-carlos,True,181,204.0627839565,stimulus,
juan-carlos,True,181,204.4974470139,tap,s
juan-carlos,True,182,204.8128299713,stimulus,
juan-carlos,True,182,205.2441749573,tap,l
juan-carlos,True,183,205.5628249645,stimulus,
juan-carlos,True,183,206.1080610752,tap,s
juan-carlos,True,184,206.3128290176,stimulus,
juan-carlos,True,184,206.7897748947,tap,s
juan-carlos,True,185,207.0628390312,stimulus,
juan-carlos,True,185,207.5282900333,tap,l
juan-carlos,True,186,207.8128540516,stimulus,
juan-carlos,True,186,208.2870340347,tap,s
juan-carlos,True,187,208.5628769398,stimulus,
juan-carlos,True,187,209.0214939117,tap,s
juan-carlos,True,188,209.3128869534,stimulus,
juan-carlos,True,188,209.8086841106,tap,l
juan-carlos,True,189,210.0629079342,stimulus,
juan-carlos,True,189,210.6079699993,tap,s
juan-carlos,True,190,210.8129239082,stimulus,
juan-carlos,True,190,211.3018660545,tap,s
juan-carlos,True,191,211.5629630089,stimulus,
juan-carlos,True,191,212.0038518906,tap,l
juan-carlos,True,192,212.3129830360,stimulus,
juan-carlos,True,192,212.7950758934,tap,s
juan-carlos,True,193,213.0629980564,stimulus,
juan-carlos,True,193,213.4645559788,tap,s
juan-carlos,True,194,213.8130159378,stimulus,
juan-carlos,True,194,214.2314081192,tap,l
juan-carlos,True,195,214.5630300045,stimulus,
juan-carlos,True,195,215.0915620327,tap,s
juan-carlos,True,196,215.3130450249,stimulus,
juan-carlos,True,196,215.8219060898,tap,s
juan-carlos,True,197,216.0630609989,stimulus,
juan-carlos,True,197,216.5522949696,tap,l
juan-carlos,True,198,216.8130791187,stimulus,
juan-carlos,True,198,217.2947521210,tap,s
juan-carlos,True,199,217.5631000996,stimulus,
juan-carlos,True,199,217.9805231094,tap,s
juan-carlos,True,200,218.3131899834,stimulus,
juan-carlos,True,200,218.7433059216,tap,l
juan-carlos,True,201,219.0631909370,stimulus,
juan-carlos,True,201,219.4858949184,tap,s
juan-carlos,True,202,219.8131968975,stimulus,
juan-carlos,True,202,220.2040801048,tap,s
juan-carlos,True,203,220.5631918907,stimulus,
juan-carlos,True,203,220.8858768940,tap,l
juan-carlos,True,204,221.3132700920,stimulus,
juan-carlos,True,204,221.8269789219,tap,s
juan-carlos,True,205,222.0632719994,stimulus,
juan-carlos,True,205,222.5289659500,tap,s
juan-carlos,True,206,222.8132710457,stimulus,
juan-carlos,True,206,223.2309439182,tap,l
juan-carlos,True,207,223.5632650852,stimulus,
juan-carlos,True,207,224.0465691090,tap,s
juan-carlos,True,208,224.3132739067,stimulus,
juan-carlos,True,208,224.8052730560,tap,s
juan-carlos,True,209,225.0632910728,stimulus,
juan-carlos,True,209,225.5316290855,tap,l
juan-carlos,True,210,225.8133289814,stimulus,
juan-carlos,True,210,226.2822411060,tap,s
juan-carlos,True,211,226.5633330345,stimulus,
juan-carlos,True,211,227.0532000065,tap,s
juan-carlos,True,212,227.3133440018,stimulus,
juan-carlos,True,212,227.7551999092,tap,l
juan-carlos,True,213,228.0633709431,stimulus,
juan-carlos,True,213,228.5221009254,tap,s
juan-carlos,True,214,228.8133931160,stimulus,
juan-carlos,True,214,229.2645459175,tap,s
juan-carlos,True,215,229.5634100437,stimulus,
juan-carlos,True,215,229.9342050552,tap,l
juan-carlos,True,216,230.3134269714,stimulus,
juan-carlos,True,216,230.7496399879,tap,s
juan-carlos,True,217,231.0634410381,stimulus,
juan-carlos,True,217,231.4800438881,tap,s
juan-carlos,True,218,231.8134579659,stimulus,
juan-carlos,True,218,232.1901149750,tap,l
juan-carlos,True,219,232.5634820461,stimulus,
juan-carlos,True,219,233.0178279877,tap,s
juan-carlos,True,220,233.3135049343,stimulus,
juan-carlos,True,220,233.6995499134,tap,s
juan-carlos,True,221,234.0635259151,stimulus,
juan-carlos,True,221,234.4339671135,tap,l
juan-carlos,True,222,234.8135418892,stimulus,
juan-carlos,True,222,235.2453451157,tap,s
juan-carlos,True,223,235.5635550022,stimulus,
juan-carlos,True,223,235.9555530548,tap,s
juan-carlos,True,224,236.3135740757,stimulus,
juan-carlos,True,224,236.6534690857,tap,l
juan-carlos,True,225,237.0635900497,stimulus,
juan-carlos,True,225,237.4812109470,tap,s
juan-carlos,True,226,237.8136119843,stimulus,
juan-carlos,True,226,238.1588010788,tap,s
juan-carlos,True,227,238.5636351109,stimulus,
juan-carlos,True,227,238.9540019035,tap,l
juan-carlos,True,228,239.3136510849,stimulus,
juan-carlos,True,228,239.6682140827,tap,s
juan-carlos,True,229,240.0636649132,stimulus,
juan-carlos,True,229,240.3904631138,tap,s
juan-carlos,True,230,240.8136799335,stimulus,
juan-carlos,True,230,241.0397510529,tap,l
juan-carlos,True,231,241.5637040138,stimulus,
juan-carlos,True,231,241.7254149914,tap,s
juan-carlos,True,232,242.3137149811,stimulus,
juan-carlos,True,232,242.4517080784,tap,s
juan-carlos,True,232,242.9874470234,tap,l
juan-carlos,True,233,243.0637230873,stimulus,
juan-carlos,True,233,243.6934669018,tap,s
juan-carlos,True,234,243.8137469292,stimulus,
juan-carlos,True,234,244.4765200615,tap,s
juan-carlos,True,235,244.5637700558,stimulus,
juan-carlos,True,235,245.1095120907,tap,l
juan-carlos,True,236,245.3137850761,stimulus,
juan-carlos,True,236,245.8075609207,tap,s
juan-carlos,True,237,246.0638089180,stimulus,
juan-carlos,True,237,246.5500071049,tap,s
juan-carlos,True,238,246.8138220310,stimulus,
juan-carlos,True,238,247.2318229675,tap,l
juan-carlos,True,239,247.5638461113,stimulus,
juan-carlos,True,239,247.9662239552,tap,s
juan-carlos,True,240,248.3138608932,stimulus,
juan-carlos,True,240,248.7655889988,tap,s
juan-carlos,True,241,249.0638821125,stimulus,
juan-carlos,True,241,249.4431359768,tap,l
juan-carlos,True,242,249.8139019012,stimulus,
juan-carlos,True,242,250.2182269096,tap,s
juan-carlos,True,243,250.5639240742,stimulus,
juan-carlos,True,243,251.0540199280,tap,s
juan-carlos,True,244,251.3139400482,stimulus,
juan-carlos,True,244,251.7317099571,tap,l
juan-carlos,True,245,252.0639610291,stimulus,
juan-carlos,True,245,252.5148329735,tap,s
juan-carlos,True,246,252.8139801025,stimulus,
juan-carlos,True,246,253.3100419044,tap,s
juan-carlos,True,247,253.5639939308,stimulus,
juan-carlos,True,247,254.0404341221,tap,l
juan-carlos,True,248,254.3140170574,stimulus,
juan-carlos,True,248,254.7545709610,tap,s
juan-carlos,True,249,255.0640370846,stimulus,
juan-carlos,True,249,255.4686961174,tap,s
juan-carlos,True,250,255.8140499592,stimulus,
juan-carlos,True,250,256.1585450172,tap,l
juan-carlos,True,251,256.5640709400,stimulus,
juan-carlos,True,251,256.8564510345,tap,s
juan-carlos,True,252,257.3140909672,stimulus,
juan-carlos,True,252,257.6476459503,tap,s
juan-carlos,True,253,258.0641100407,stimulus,
juan-carlos,True,253,258.4227681160,tap,l
juan-carlos,True,254,258.8141250610,stimulus,
juan-carlos,True,254,259.1125340462,tap,s
juan-carlos,True,255,259.5641410351,stimulus,
juan-carlos,True,255,259.9118161201,tap,s
juan-carlos,True,256,260.3141589165,stimulus,
juan-carlos,True,256,260.5448229313,tap,l
juan-carlos,True,257,261.0642399788,stimulus,
juan-carlos,True,257,261.3279669285,tap,s
juan-carlos,True,258,261.8142399788,stimulus,
juan-carlos,True,258,262.1556439400,tap,s
juan-carlos,True,259,262.5642409325,stimulus,
juan-carlos,True,259,262.9509239197,tap,l
juan-carlos,True,260,263.3142430782,stimulus,
juan-carlos,True,260,263.6772420406,tap,s
juan-carlos,True,261,264.0643219948,stimulus,
juan-carlos,True,261,264.4199080467,tap,s
juan-carlos,True,262,264.8143470287,stimulus,
juan-carlos,True,262,265.1828260422,tap,l
juan-carlos,True,263,268.9757380486,probe_task,3
juan-carlos, True,263,271.0760009289,probe_intention,1
juan-carlos,True,263,273.7095780373,probe_distraction,0
juan-carlos,True,264,277.4930269718,stimulus,
juan-carlos,True,264,277.8773870468,tap,s
juan-carlos,True,265,278.2428679466,stimulus,
juan-carlos,True,265,278.5145020485,tap,s
juan-carlos,True,266,278.9928870201,stimulus,
juan-carlos,True,266,279.6178619862,tap,l
juan-carlos,True,267,279.7428960800,stimulus,
juan-carlos,True,267,280.3887779713,tap,s
juan-carlos,True,268,280.4929239750,stimulus,
juan-carlos,True,268,281.1191399097,tap,s
juan-carlos,True,269,281.2429358959,stimulus,
juan-carlos,True,269,281.8291730881,tap,l
juan-carlos,True,270,281.9929571152,stimulus,
juan-carlos,True,270,282.5392639637,tap,s
juan-carlos,True,271,282.7429749966,stimulus,
juan-carlos,True,271,283.2453401089,tap,s
juan-carlos,True,272,283.4929909706,stimulus,
juan-carlos,True,272,283.9959950447,tap,l
juan-carlos,True,273,284.2430028915,stimulus,
juan-carlos,True,273,284.7587800026,tap,s
juan-carlos,True,274,284.9930269718,stimulus,
juan-carlos,True,274,285.4891779423,tap,s
juan-carlos,True,275,285.7430479527,stimulus,
juan-carlos,True,275,286.2763850689,tap,l
juan-carlos,True,276,286.4930589199,stimulus,
juan-carlos,True,276,287.1364779472,tap,s
juan-carlos,True,277,287.2430789471,stimulus,
juan-carlos,True,277,287.7857389450,tap,s
juan-carlos,True,278,287.9930710793,stimulus,
juan-carlos,True,278,288.5283980370,tap,l
juan-carlos,True,279,288.7431209087,stimulus,
juan-carlos,True,279,289.2871589661,tap,s
juan-carlos,True,280,289.4931449890,stimulus,
juan-carlos,True,280,290.0215160847,tap,s
juan-carlos,True,281,290.2431459427,stimulus,
