# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica,False,227,208.2505255390,stimulus,
monica, False,227,208.6304026780,tap,l
monica,False,228,209.0005926920,stimulus,
monica, False,228,209.4355676330,tap,l
monica,False,229,209.7507044360,stimulus,
monica, False,229,210.0604094620,tap,s
monica,False,230,210.5008230350,stimulus,
monica, False,230,210.7200304970,tap,l
monica,False,231,211.2509478460,stimulus,
monica, False,231,211.3336688400,tap,l
monica, False,231,211.9440220840,tap,l
monica,False,232,212.0010281440,stimulus,
monica, False,232,212.5487061430,tap,s
monica,False,233,212.7511580980,stimulus,
monica, False,233,213.3405996070,tap,s
monica,False,234,213.5012630970,stimulus,
monica, False,234,214.0840272320,tap,s
monica,False,235,214.2514355410,stimulus,
monica, False,235,214.7832273720,tap,s
monica,False,236,215.0015198980,stimulus,
monica, False,236,215.4120818590,tap,l
monica,False,237,215.7516521830,stimulus,
monica, False,237,216.3248830530,tap,l
monica,False,238,216.5017264680,stimulus,
monica, False,238,217.0769004810,tap,l
monica,False,239,217.2518305820,stimulus,
monica, False,239,217.7580335310,tap,s
monica,False,240,218.0019190870,stimulus,
monica, False,240,218.4907315400,tap,l
monica,False,241,218.7520241480,stimulus,
monica, False,241,219.3311525080,tap,l
monica,False,242,219.5021274840,stimulus,
monica, False,242,219.9349196260,tap,s
monica,False,243,220.2522348560,stimulus,
monica, False,243,220.6542090310,tap,s
monica,False,244,221.0024305020,stimulus,
monica, False,244,221.5205731950,tap,s
monica,False,245,221.7525637580,stimulus,
monica, False,245,222.2771813210,tap,l
monica,False,246,222.5026763450,stimulus,
monica, False,246,223.1738599140,tap,l
monica,False,247,223.2528043420,stimulus,
monica, False,247,223.9916271750,tap,l
monica,False,248,224.0029373030,stimulus,
monica, False,248,224.7209831910,tap,l
monica,False,249,233.1109642210,probe_task,0
monica, False,249,238.7447394480,probe_intention,1
monica,False,250,242.5276729200,stimulus,
monica, False,250,242.9815570980,tap,s
monica,False,251,243.2776151510,stimulus,
monica, False,251,243.6881631650,tap,s
monica,False,252,244.0276977210,stimulus,
monica, False,252,244.2544273230,tap,l
monica, False,252,244.7410322250,tap,l
monica,False,253,244.7777704060,stimulus,
monica, False,253,245.3127617210,tap,l
monica,False,254,245.5278715560,stimulus,
monica, False,254,245.8099492880,tap,s
monica,False,255,246.2779592240,stimulus,
monica, False,255,246.4851154480,tap,s
monica,False,256,247.0280560550,stimulus,
monica, False,256,247.1839713900,tap,l
monica,False,257,247.7781804730,stimulus,
monica, False,257,247.8139783580,tap,l
monica,False,258,248.5283818770,stimulus,
monica, False,258,248.6148397720,tap,l
monica, False,258,249.0568241590,tap,s
monica,False,259,249.2784504720,stimulus,
monica, False,259,249.6717096730,tap,s
monica,False,260,250.0285595030,stimulus,
monica, False,260,250.6772215790,tap,s
monica,False,261,250.7786571710,stimulus,
monica, False,261,251.3128136050,tap,l
monica,False,262,251.5287763910,stimulus,
monica, False,262,252.0168491450,tap,l
monica,False,263,252.2788974680,stimulus,
monica, False,263,252.7046581090,tap,l
monica,False,264,253.0290026710,stimulus,
monica, False,264,253.2137037970,tap,s
monica,False,265,253.7790973240,stimulus,
monica, False,265,253.8536829210,tap,s
monica, False,265,254.4305863760,tap,s
monica,False,266,254.5292262600,stimulus,
monica, False,266,255.0645724510,tap,l
monica,False,267,255.2793687470,stimulus,
monica, False,267,255.6960128630,tap,l
monica,False,268,256.0294613800,stimulus,
monica, False,268,256.3944589910,tap,l
monica,False,269,256.7795981190,stimulus,
monica, False,269,257.2950872650,tap,s
monica,False,270,257.5297063430,stimulus,
monica, False,270,257.9433855590,tap,s
monica,False,271,258.2797951540,stimulus,
monica, False,271,258.9687961740,tap,l
monica,False,272,259.0299289010,stimulus,
monica, False,272,259.6244664970,tap,l
monica,False,273,259.7800315730,stimulus,
monica,False,274,260.5301361160,stimulus,
monica, False,274,260.5698351080,tap,l
monica,False,275,261.2802753220,stimulus,
monica, False,275,261.3251508520,tap,s
monica, False,275,261.9585424040,tap,s
monica,False,276,262.0304038290,stimulus,
monica,False,277,262.7804854880,stimulus,
monica, False,277,262.9072579780,tap,l
monica,False,278,263.5306164870,stimulus,
monica, False,278,263.8529072280,tap,l
monica,False,279,264.2806872570,stimulus,
monica, False,279,264.5221334580,tap,l
monica,False,280,265.0308034030,stimulus,
monica, False,280,265.1070191660,tap,s
monica, False,280,265.7201068900,tap,s
monica,False,281,265.7808857750,stimulus,
monica, False,281,266.4779502760,tap,s
monica,False,282,266.5309631610,stimulus,
monica, False,282,267.2172585900,tap,l
monica,False,283,267.2810801330,stimulus,
monica, False,283,268.0089548410,tap,l
monica,False,284,268.0311526560,stimulus,
monica, False,284,268.5962154930,tap,l
monica,False,285,268.7812996910,stimulus,
monica,False,286,269.5313988490,stimulus,
monica, False,286,269.6727417640,tap,l
monica,False,287,270.2815179870,stimulus,
monica, False,287,270.3168979550,tap,l
monica, False,287,271.0301082830,tap,s
monica,False,288,271.0316348520,stimulus,
monica, False,288,271.6716407440,tap,s
monica,False,289,271.7817508730,stimulus,
monica, False,289,272.5228499920,tap,s
monica,False,290,272.5318252580,stimulus,
monica, False,290,273.1347164890,tap,s
monica,False,291,273.2819299090,stimulus,
monica,False,292,274.0320079940,stimulus,
monica, False,292,274.0718317610,tap,l
monica,False,293,274.7821349810,stimulus,
monica, False,293,274.8614662230,tap,l
monica,False,294,275.5322763310,stimulus,
monica,False,295,276.2823512830,stimulus,
monica,False,296,277.0324515090,stimulus,
monica, False,296,277.1001085330,tap,s
monica, False,296,277.2874658470,tap,l
monica,False,297,277.7825634630,stimulus,
monica, False,297,277.8752927030,tap,s
monica, False,297,277.9032362100,tap,l
monica,False,298,278.5326519250,stimulus,
monica, False,298,278.6481176290,tap,s
monica, False,298,278.6507300630,tap,l
monica,False,299,279.2827573150,stimulus,
monica, False,299,279.2923534780,tap,l
monica, False,299,279.3882403530,tap,s
monica,False,300,280.0328853250,stimulus,
monica, False,300,280.0841896080,tap,l
monica, False,300,280.1241681090,tap,s
monica,False,301,280.7829910990,stimulus,
monica, False,301,281.0814247830,tap,s
monica,False,302,281.5330757340,stimulus,
monica, False,302,281.8491204620,tap,s
monica,False,303,282.2831852700,stimulus,
monica, False,303,282.3504035240,tap,l
monica,False,304,283.0333103080,stimulus,
monica, False,304,283.0563000140,tap,l
monica, False,304,283.7302026210,tap,s
monica,False,305,283.7834387910,stimulus,
monica,False,306,284.5335468910,stimulus,
monica, False,306,284.5861039800,tap,s
monica,False,307,285.2836471630,stimulus,
monica, False,307,285.7894314500,tap,l
monica,False,308,286.0338343240,stimulus,
monica, False,308,286.4778322980,tap,l
monica,False,309,286.7838874570,stimulus,
monica, False,309,287.1640512440,tap,s
monica,False,310,287.5340011410,stimulus,
monica, False,310,288.1060203350,tap,s
monica,False,311,288.2841221620,stimulus,
monica, False,311,288.8521446710,tap,l
monica,False,312,289.0342549090,stimulus,
monica,False,313,289.7843806790,stimulus,
monica, False,313,289.8426550140,tap,l
monica,False,314,290.5344989540,stimulus,
monica,False,315,291.2846342420,stimulus,
monica, False,315,291.5250219380,tap,l
monica, False,315,291.9458024480,tap,l
monica,False,316,292.0347442260,stimulus,
monica, False,316,292.6367069350,tap,s
monica,False,317,292.7848198570,stimulus,
monica, False,317,293.1766892030,tap,s
monica,False,318,293.5349511610,stimulus,
